user_id,item_id,rating
0,2,2
0,13,4
0,16,3
0,15,5
0,3,3
0,7,3
0,6,3
0,4,2
0,12,4
0,18,4
0,5,4
0,11,3
0,1,4
1,6,3
1,9,4
1,19,3
1,5,3
1,10,1
1,0,2
1,18,4
1,13,2
1,1,4
1,7,4
1,12,2
1,3,5
1,11,4
2,16,2
2,11,1
2,19,1
2,6,3
2,7,2
2,2,4
2,12,4
2,13,4
2,18,3
2,10,3
2,5,4
2,1,1
2,9,1
2,15,3
2,3,3
2,8,1
3,1,3
3,14,3
3,0,5
3,17,3
3,18,4
3,16,3
3,6,3
3,9,3
3,11,3
3,5,3
3,19,3
3,3,3
3,8,3
3,10,2
3,12,2
4,17,4
4,19,2
4,4,4
4,11,3
4,15,3
4,13,2
4,6,2
4,12,3
4,3,3
4,2,4
4,8,2
4,16,2
4,18,2
4,5,2
4,1,2
4,14,2
4,9,4
4,7,3
4,10,3
5,1,4
5,16,5
5,7,5
5,6,3
5,11,4
5,9,3
5,14,1
5,18,2
5,19,3
5,0,5
5,3,5
5,13,1
5,4,4
5,10,3
5,15,4
5,5,2
6,18,5
6,5,3
6,14,3
6,9,1
6,0,3
6,6,2
6,4,2
6,15,1
6,13,1
6,19,5
6,11,4
6,7,4
6,8,2
6,16,2
6,2,3
6,1,4
6,10,2
7,0,3
7,19,2
7,5,3
7,4,3
7,18,4
7,1,3
8,13,1
8,2,3
8,0,4
8,7,4
8,5,1
8,1,4
8,3,4
8,17,2
8,4,4
9,0,3
9,1,4
9,16,3
9,4,3
9,13,4
9,3,3
9,18,2
10,0,3
10,11,2
10,1,4
10,15,3
10,13,3
10,4,3
11,10,3
11,13,3
11,7,1
11,1,4
11,2,5
11,14,2
11,12,4
11,3,4
11,4,3
11,0,2
11,19,2
11,8,1
12,14,4
12,3,3
12,0,2
12,15,4
12,6,2
12,2,2
12,9,3
12,19,2
12,7,3
12,17,4
13,9,2
13,13,3
13,19,1
13,7,4
13,1,3
13,15,4
13,4,2
13,12,3
13,5,4
14,1,2
14,17,2
14,2,4
14,19,5
14,18,3
14,13,5
14,8,3
14,9,3
14,5,3
14,7,5
14,4,4
14,14,4
14,12,3
14,10,2
14,15,2
14,11,3
14,6,2
15,6,3
15,10,3
15,17,2
15,8,2
15,13,2
15,18,1
15,7,2
15,3,4
15,14,2
15,4,5
15,19,4
15,1,3
15,0,1
15,15,2
15,2,3
15,16,2
16,8,4
16,9,3
16,6,2
16,1,4
16,13,2
16,4,5
16,14,5
16,0,2
16,17,3
16,2,3
17,15,4
17,16,1
17,14,1
17,2,5
17,13,1
17,11,4
18,0,2
18,5,2
18,18,3
18,1,4
18,19,3
18,13,2
18,3,3
18,17,1
18,12,4
18,7,3
18,14,4
19,6,3
19,12,3
19,0,4
19,17,2
19,1,3
19,14,3
19,15,2
19,3,2
19,10,4
19,4,3
19,19,3
19,9,4
19,13,3
19,5,4
19,8,2
19,7,5
19,2,2
19,11,5
19,16,2
20,1,3
20,19,2
20,16,4
20,5,3
20,6,3
20,15,2
20,14,1
20,13,3
20,2,4
20,8,1
20,18,1
20,17,3
20,12,1
20,0,2
20,7,1
20,10,3
20,11,4
21,18,2
21,2,4
21,17,3
21,9,4
21,15,3
21,13,3
21,10,1
